Player,Start,End,Matches,Innings,NotOuts,Runs,HighScore,Average,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes,Overs,Maidens,Wickets,Economy,FourWickets,FiveWickets,PC1,PC2,PC3
MM Lanning,2010,2023,132,121,28,3405,133,36.61290322580645,2926,116.37047163362952,2,15,1,405,47,6,0,4,6.5,0,0,-9.70786633020041,3.5038097123390517,-0.11691952686446923
AJ Healy,2010,2024,153,135,21,2795,148,24.517543859649123,2164,129.15896487985214,1,16,12,372,54,0,0,0,0,0,0,-10.064064108956472,2.9902736502997267,0.8805362505518578
BL Mooney,2016,2024,95,89,22,2764,117,41.25373134328358,2238,123.50312779267205,2,22,4,362,16,0,0,0,0,0,0,-8.166510672956061,3.7269961509158236,-0.6227923843692429
EA Perry,2008,2024,151,95,37,1841,75,31.74137931034483,1585,116.15141955835962,0,9,5,163,45,401.5,8,125,5.845707175445873,4,0,-7.703508445098121,-5.905337146365311,1.3556348512784535
EJ Villani,2009,2018,62,58,10,1369,90,28.520833333333332,1158,118.22107081174438,0,12,4,177,12,0,0,0,0,0,0,-3.2324542760046864,2.0937017590606146,0.5442658441823696
AJ Blackwell,2005,2017,95,81,19,1314,61,21.193548387096776,1414,92.92786421499292,0,1,5,87,1,1,0,0,14,0,0,-2.6283864921716216,0.7492388197831374,0.5803974479564108
A Gardner,2017,2024,85,66,16,1308,93,26.16,1001,130.66933066933066,0,6,5,143,43,208.2,3,64,6.7008,0,1,-4.728802400355739,-2.2828232025476463,-0.8967254256809493
JE Duffin,2009,2015,64,55,10,941,68,20.91111111111111,875,107.54285714285714,0,3,4,82,20,0,0,0,0,0,0,-1.9156361902311938,1.5575846846506631,0.9135576020707674
TM McGrath,2021,2024,39,30,9,900,91,42.857142857142854,668,134.7305389221557,0,7,1,129,14,43,1,17,8.581395348837209,0,0,-1.8918076505086343,0.5252220251654974,-2.4665959229611505
RL Haynes,2010,2022,84,56,24,850,69,26.5625,722,117.72853185595568,0,3,1,69,11,7.2,0,4,10.090909090909092,0,0,-2.114173655749807,0.628429822153457,-0.7286344132522633
LJ Poulton,2006,2012,40,40,2,784,61,20.63157894736842,752,104.25531914893618,0,2,2,80,11,3,0,2,6.666666666666667,0,0,-0.532356833341744,1.3431637995458767,0.8138110372026218
S Nitschke,2005,2011,36,35,2,776,56,23.515151515151516,734,105.72207084468666,0,3,2,92,3,128,4,43,5.5078125,1,0,-0.7967869659020458,-1.0060311293453505,1.3972313659386884
LC Sthalekar,2005,2013,54,50,14,769,52,21.36111111111111,701,109.70042796005706,0,1,4,64,1,199.2,1,60,5.824414715719064,1,0,-1.4872780129252523,-1.313833078194638,1.3855403434799838
JL Jonassen,2012,2023,105,43,9,438,47,12.882352941176473,486,90.12345679012346,0,0,3,31,6,327,7,96,5.761467889908257,3,1,-2.1297702475962073,-6.220351829115892,0.6586258471970592
GM Harris,2015,2024,42,27,8,408,64,21.473684210526315,244,167.21311475409837,0,1,5,42,18,29,0,9,5.517241379310345,0,0,-1.133252622093051,0.44479451116976554,-1.4515657733260343
KL Rolton,2005,2009,15,12,4,405,96,50.625,322,125.77639751552796,0,2,0,55,4,6,0,3,6.166666666666667,0,0,0.38906243236655613,1.502572339643464,0.33691793521980606
JM Fields,2006,2013,37,20,9,249,37,22.636363636363637,289,86.159169550173,0,0,0,15,1,0,0,0,0,0,0,0.8691684608692928,1.2572164465382547,1.1001058163647104
P Litchfield,2022,2024,11,8,3,189,52,37.8,111,170.27027027027026,0,1,0,20,9,0,0,0,0,0,0,0.5574352664846997,1.008096441829569,-2.5118823999978503
DM Kimmince,2008,2020,44,11,1,162,43,16.2,168,96.42857142857144,0,0,1,10,2,141,0,45,6.7304964539007095,0,0,0.6552392228661389,-0.603891768707935,-0.04022103295613331
KA Blackwell,2005,2008,6,6,3,119,43,39.666666666666664,126,94.44444444444444,0,0,0,10,0,3,0,0,9,0,0,1.6986313253594347,1.0903455934070783,0.5571282852177815
SJ Coyte,2010,2016,47,21,12,117,17,13,120,97.5,0,0,2,6,0,160.2,1,47,6.106029106029107,1,0,0.28409704617545395,-1.4837274340396553,0.46013903620075514
G Wareham,2018,2024,52,14,7,116,32,16.571428571428573,80,145,0,0,2,14,2,134.3,0,51,6.230483271375463,0,0,0.09896522693297193,-0.9913733870110586,-1.708758476455429
LK Ebsary,2009,2012,14,12,4,113,24,14.125,103,109.70873786407766,0,0,2,7,4,0,0,0,0,0,0,1.2428490335084987,1.194890928819574,0.8065563696824429
A Sutherland,2020,2024,28,11,2,109,22,12.11111111111111,78,139.74358974358972,0,0,0,17,1,63,0,15,7.2063492063492065,0,0,1.0037999253558836,-0.09481757555424092,-2.1418340165930636
RM Farrell,2009,2016,54,14,6,95,31,11.875,72,131.94444444444443,0,0,1,11,0,185.3,5,55,6.199460916442049,1,0,0.21725772271458996,-2.502182843882518,0.35935389997159006
EA Osborne,2009,2016,59,18,9,78,17,8.666666666666666,81,96.29629629629628,0,0,5,6,0,187.2,0,48,5.765124555160142,1,0,0.049970722395584276,-1.4924511262950786,0.7997301951784528
SJ Elliott,2005,2011,14,10,2,62,19,7.75,88,70.45454545454545,0,0,0,2,0,14.2,0,6,6.209302325581395,0,0,1.873013079665827,0.8164653653332751,1.162375813721182
NJ Carey,2018,2022,27,12,9,60,10,20,73,82.1917808219178,0,0,0,4,0,67.2,1,19,7.009900990099011,0,0,1.118535261038593,-0.36617456021130496,-1.3384986151736398
S Molineux,2018,2021,27,7,1,47,18,7.833333333333333,53,88.67924528301887,0,0,1,5,0,90.3,2,26,5.94475138121547,1,0,1.1280481008582974,-1.153761225940606,-0.8740246571297459
KL Britt,2007,2008,2,2,0,44,39,22,48,91.66666666666666,0,0,0,5,0,2,0,0,7,0,0,2.0089578505828523,1.1074784749651083,0.6985713052394092
EA Burns,2019,2019,5,1,1,30,30,100,18,166.66666666666669,0,0,0,6,0,8,1,0,4.625,0,0,1.4051165352388635,0.7146976527220733,-2.922300930193199
M Schutt,2013,2024,108,15,7,29,8,3.625,35,82.85714285714286,0,0,2,2,0,366.3,8,133,6.376534788540246,4,1,-1.052935216026655,-8.015493287628813,0.6626426067235337
AM King,2022,2023,22,4,2,27,18,13.5,30,90,0,0,0,4,0,65.1,1,21,6.2915601023017915,1,0,1.3105229638427076,-0.8317705849941807,-1.705064581097922
MJ Bulow,2006,2007,2,2,0,15,11,7.5,25,60,0,0,0,1,0,0,0,0,0,0,0,2.385839328152998,1.3599421153312736,1.8349098750019022
SJ Andrews,2006,2010,16,3,3,12,10,100,14,85.71428571428571,0,0,0,1,0,54.3,0,10,6.752293577981652,0,0,1.8862907219575913,0.7347707853973855,-0.2539310510327484
LA Coleman,2008,2008,2,1,0,9,9,9,13,69.23076923076923,0,0,0,0,0,0,0,0,0,0,0,2.3654677511314435,1.3026148596931888,1.4398155735247629
MAJ Goszko,2006,2006,1,1,0,9,9,9,9,100,0,0,0,1,0,0,0,0,0,0,0,2.3208202295582003,1.3674005314621545,1.5819912684566086
JL Hunter,2010,2014,32,5,3,9,6,4.5,9,100,0,0,1,1,0,103,3,33,5.87378640776699,1,1,1.1430370643820633,-2.33195860299944,0.6596153375394163
A Wellington,2017,2018,8,2,1,9,8,9,10,90,0,0,0,1,0,20,0,10,5.6,1,0,1.821687809987302,-0.04039755443037655,-0.7337441620174844
KM Beams,2014,2017,18,2,1,6,4,6,6,100,0,0,0,0,0,63,1,20,5.26984126984127,0,0,1.7617667476155212,-0.12569000856387352,-0.39892671363588417
NE Bolton,2014,2016,2,1,0,6,6,6,12,50,0,0,0,0,0,0,0,0,0,0,0,2.2460011765866272,1.0294724525091241,0.32634850744675403
D Brown,2021,2024,30,2,2,6,6,100,3,200,0,0,0,1,0,100,2,28,6.43,0,0,0.9420540193565884,-0.7511344226338367,-3.7702871562837306
M Strano,2017,2020,7,4,0,6,3,1.5,16,37.5,0,0,1,0,0,25,0,9,6.32,0,1,1.8834717400447816,-0.6675064205358923,-0.4497161397179325
CR Smith,2007,2011,13,7,3,5,1,1.25,8,62.5,0,0,2,0,0,50,1,14,6.22,0,0,1.8010295363538502,0.16730586069904999,1.2545261855131324
L Cheatle,2016,2016,7,1,1,4,4,100,8,50,0,0,0,0,0,19,1,5,6.421052631578948,0,0,2.0773924484319832,0.5539580910178252,-1.5513368817715771
BJ Clark,2005,2005,1,1,0,4,4,4,10,40,0,0,0,0,0,0,0,0,0,0,0,2.5954516686601945,1.3935401931993656,2.305164073245571
EM Sampson,2007,2009,5,1,1,4,4,100,6,66.66666666666666,0,0,0,0,0,17,1,4,5.0588235294117645,0,0,2.2199247847543324,0.9145853719564567,-0.03440399007561768
KJ Garth,2022,2024,6,1,1,2,2,100,4,50,0,0,0,0,0,22,0,5,7.409090909090909,0,0,1.9298936845691563,0.43727392893319283,-2.9559228880040713
SE Aley,2017,2017,2,1,0,1,1,1,3,33.33333333333333,0,0,0,0,0,4,0,0,9.5,0,0,2.351429531707756,0.4758642938575423,-0.5577217574838986
LM Keightley,2005,2005,1,1,0,1,1,1,2,50,0,0,0,0,0,0,0,0,0,0,0,2.592405988028428,1.3711662528085664,2.2691219108811125
KE Pike,2005,2009,10,1,0,1,1,1,5,20,0,0,0,0,0,28.1,1,5,7.349112426035503,0,0,2.458902954185555,0.48861135157289004,1.7216740584811565
HL Ferling,2013,2016,9,1,0,0,0,0,1,0,0,0,1,0,0,27,2,5,5.2592592592592595,0,0,2.2093569347663022,0.11001979715060363,0.679572033410548
SA Millanta,2012,2012,4,1,0,0,0,0,1,0,0,0,1,0,0,12,0,1,5.166666666666667,0,0,2.455368231931948,0.7887004666640735,1.0356395759062547
TJ Vlaeminck,2018,2022,15,1,0,0,0,0,2,0,0,0,1,0,0,47,3,13,6.042553191489362,0,0,1.9273275916989818,-0.5694973415969319,-0.3496913567107727
